,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
0,David Raya,es ESP,GK,29-231,35,35,3150,35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0,Matches,Arsenal,Premier-League
0,Emiliano Martínez,ar ARG,GK,32-245,34,34,2970,33.0,45,1.36,132,86,66.7,16,9,9,6,17.6,2,1,1,0,50.0,Matches,Aston-Villa,Premier-League
1,Robin Olsen,se SWE,GK,35-117,3,1,180,2.0,4,2.0,9,5,55.6,1,0,0,1,100.0,0,0,0,0,,Matches,Aston-Villa,Premier-League
0,Kepa Arrizabalaga,es ESP,GK,30-214,28,28,2520,28.0,35,1.25,126,91,75.4,12,7,9,7,25.0,4,4,0,0,0.0,Matches,Bournemouth,Premier-League
1,Mark Travers,ie IRL,GK,25-352,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches,Bournemouth,Premier-League
2,Neto,br BRA,GK,35-290,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,Matches,Bournemouth,Premier-League
0,Mark Flekken,nl NED,GK,31-326,33,33,2915,32.4,48,1.48,181,135,74.0,14,7,12,6,18.2,1,1,0,0,0.0,Matches,Brentford,Premier-League
1,Hákon Rafn Valdimarsson,is ISL,GK,23-204,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,Matches,Brentford,Premier-League
0,Bart Verbruggen,nl NED,GK,22-259,32,32,2880,32.0,54,1.69,128,76,63.3,11,12,9,6,18.8,7,7,0,0,0.0,Matches,Brighton-and-Hove-Albion,Premier-League
1,Jason Steele,eng ENG,GK,34-259,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches,Brighton-and-Hove-Albion,Premier-League
0,Robert Sánchez,es ESP,GK,27-167,28,28,2520,28.0,31,1.11,116,84,76.7,14,9,5,8,28.6,5,4,1,0,20.0,Matches,Chelsea,Premier-League
1,Filip Jørgensen,dk DEN,GK,23-018,6,6,540,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,Matches,Chelsea,Premier-League
0,Dean Henderson,eng ENG,GK,28-053,34,34,3060,34.0,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50.0,Matches,Crystal-Palace,Premier-League
0,Jordan Pickford,eng ENG,GK,31-059,35,35,3150,35.0,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100.0,Matches,Everton,Premier-League
0,Bernd Leno,de GER,GK,33-062,35,35,3150,35.0,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0.0,Matches,Fulham,Premier-League
0,Arijanet Muric,xk KVX,GK,26-179,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,Matches,Ipswich-Town,Premier-League
1,Alex Palmer,eng ENG,GK,28-268,11,11,990,11.0,27,2.45,63,38,58.7,1,3,7,0,0.0,1,1,0,0,0.0,Matches,Ipswich-Town,Premier-League
2,Christian Walton,eng ENG,GK,29-177,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches,Ipswich-Town,Premier-League
0,Mads Hermansen,dk DEN,GK,24-298,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,Matches,Leicester-City,Premier-League
1,Jakub Stolarczyk,pl POL,GK,24-137,7,7,630,7.0,12,1.71,31,19,61.3,2,0,5,1,14.3,0,0,0,0,,Matches,Leicester-City,Premier-League
2,Danny Ward,wls WAL,GK,31-317,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,Leicester-City,Premier-League
0,Alisson,br BRA,GK,32-214,24,24,2148,23.9,20,0.84,71,52,71.8,18,5,1,9,37.5,0,0,0,0,,Matches,Liverpool,Premier-League
1,Caoimhín Kelleher,ie IRL,GK,26-162,10,10,900,10.0,12,1.2,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,Matches,Liverpool,Premier-League
2,Vitezslav Jaros,cz CZE,GK,23-285,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,Liverpool,Premier-League
0,Ederson,br BRA,GK,31-261,23,23,2050,22.8,25,1.1,73,49,68.5,14,3,6,8,34.8,2,2,0,0,0.0,Matches,Manchester-City,Premier-League
1,Stefan Ortega,de GER,GK,32-180,13,12,1100,12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,Matches,Manchester-City,Premier-League
0,André Onana,cm CMR,GK,29-032,33,33,2970,33.0,43,1.3,129,86,69.0,10,9,14,9,27.3,4,3,1,0,25.0,Matches,Manchester-United,Premier-League
1,Altay Bayındır,tr TUR,GK,27-020,1,1,90,1.0,4,4.0,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,Manchester-United,Premier-League
0,Nick Pope,eng ENG,GK,33-016,24,24,2160,24.0,32,1.33,105,74,70.5,12,5,7,7,29.2,2,1,1,0,50.0,Matches,Newcastle-United,Premier-League
1,Martin Dúbravka,sk SVK,GK,36-110,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,Matches,Newcastle-United,Premier-League
