,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
0,1,Bayern Munich,33,24,7,2,95,32,63,79,2.39,80.3,25.1,55.2,1.67,D W W D W
1,2,Leverkusen,32,19,11,2,68,37,31,68,2.13,53.5,32.0,21.5,0.67,W D D W D
2,3,Eint Frankfurt,32,16,8,8,63,43,20,56,1.75,61.5,46.5,14.9,0.47,L W D W D
3,4,Freiburg,33,16,7,10,48,50,-2,55,1.67,43.5,40.5,3.1,0.09,W W W D W
4,5,Dortmund,32,15,6,11,64,49,15,51,1.59,57.6,39.8,17.7,0.55,W D W W W
5,6,Mainz 05,33,14,9,10,53,41,12,51,1.55,47.0,46.9,0.1,0.0,L D L D W
6,7,RB Leipzig,33,13,12,8,51,45,6,51,1.55,45.5,50.8,-5.3,-0.16,W D L D D
7,8,Werder Bremen,33,13,9,11,50,56,-6,48,1.45,46.9,46.5,0.4,0.01,W W D D D
8,9,Gladbach,33,13,6,14,55,56,-1,45,1.36,49.6,61.7,-12.1,-0.37,L L L D L
9,10,Stuttgart,32,12,8,12,57,51,6,44,1.38,55.9,45.3,10.6,0.33,W L D L W
10,11,Augsburg,32,11,10,11,34,45,-11,43,1.34,32.5,44.2,-11.7,-0.37,L W D L L
11,12,Wolfsburg,33,10,10,13,55,54,1,40,1.21,45.8,51.6,-5.7,-0.17,L D L L D
12,13,Union Berlin,33,9,10,14,33,50,-17,37,1.12,36.2,46.1,-9.8,-0.3,D D D D L
13,14,Hoffenheim,33,7,11,15,46,64,-18,32,0.97,42.2,54.3,-12.1,-0.37,W L L D D
14,15,St. Pauli,32,8,7,17,26,37,-11,31,0.97,33.7,42.4,-8.6,-0.27,D W D D L
15,16,Heidenheim,33,8,5,20,36,60,-24,29,0.88,38.7,55.4,-16.7,-0.51,L L W D W
16,17,Holstein Kiel,33,6,7,20,49,77,-28,25,0.76,39.1,58.6,-19.5,-0.59,L D W W L
17,18,Bochum,33,5,7,21,31,67,-36,22,0.67,40.5,62.4,-21.9,-0.66,L L D D L
