,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
0,1,Barcelona,34,25,4,5,91,33,58,79,2.32,81.8,34.8,46.9,1.38,D W W W W
1,2,Real Madrid,34,23,6,5,69,33,36,75,2.21,65.4,36.7,28.7,0.84,L W W W W
2,3,Atlético Madrid,35,20,10,5,60,27,33,70,2.0,55.8,31.9,23.9,0.68,W L W D W
3,4,Athletic Club,34,16,13,5,50,26,24,61,1.79,48.2,33.1,15.2,0.45,D W L W D
4,5,Villarreal,35,17,10,8,61,47,14,61,1.74,60.4,40.5,19.9,0.57,D L W W W
5,6,Betis,34,16,9,9,52,42,10,57,1.68,51.2,41.9,9.3,0.27,D L W W W
6,7,Celta Vigo,35,14,7,14,55,54,1,49,1.4,49.2,40.0,9.2,0.26,L L W L W
7,8,Rayo Vallecano,35,12,11,12,37,42,-5,47,1.34,40.9,44.8,-3.9,-0.11,L D L W W
8,9,Mallorca,35,13,8,14,33,40,-7,47,1.34,37.2,40.4,-3.2,-0.09,W D L L W
9,10,Valencia,35,11,12,12,43,51,-8,45,1.29,41.2,48.1,-6.9,-0.2,W D D W W
10,11,Osasuna,34,10,14,10,42,50,-8,44,1.29,38.6,49.2,-10.5,-0.31,D W W W L
11,12,Real Sociedad,35,12,7,16,32,41,-9,43,1.23,37.9,38.0,-0.1,0.0,L D L D L
12,13,Getafe,35,10,9,16,31,34,-3,39,1.11,34.4,43.2,-8.8,-0.25,L L L L L
13,14,Espanyol,34,10,9,15,36,44,-8,39,1.15,29.1,49.9,-20.8,-0.61,W W D L L
14,15,Girona,35,10,8,17,41,53,-12,38,1.09,38.8,44.8,-6.0,-0.17,L L D W L
15,16,Sevilla,35,9,11,15,39,49,-10,38,1.09,39.4,43.8,-4.5,-0.13,L D L D L
16,17,Alavés,34,8,11,15,35,46,-11,35,1.03,37.3,41.7,-4.3,-0.13,W L D W D
17,18,Las Palmas,35,8,8,19,40,57,-17,32,0.91,34.8,62.0,-27.2,-0.78,W W L L L
18,19,Leganés,34,6,13,15,32,51,-19,31,0.91,29.8,55.7,-25.8,-0.76,D L D D D
19,20,Valladolid,35,4,4,27,26,85,-59,16,0.46,31.7,62.7,-31.0,-0.89,L L L L L
