,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
0,1,Paris S-G,32,24,6,2,85,33,52,78,2.44,84.0,30.0,54.0,1.69,W W D L L
1,2,Monaco,32,17,7,8,61,37,24,58,1.81,71.2,32.7,38.5,1.2,L W D D W
2,3,Marseille,31,18,4,9,66,43,23,58,1.87,56.0,42.6,13.4,0.43,L W L W W
3,4,Nice,32,16,9,7,60,39,21,57,1.78,55.7,37.6,18.1,0.56,L D W W W
4,5,Strasbourg,32,16,9,7,53,39,14,57,1.78,46.7,52.9,-6.2,-0.19,W D D W W
5,6,Lille,31,16,8,7,49,32,17,56,1.81,50.3,39.8,10.5,0.34,W L W W W
6,7,Lyon,31,16,6,9,62,42,20,54,1.74,54.9,43.4,11.5,0.37,L W W L W
7,8,Lens,31,13,6,12,35,37,-2,45,1.45,48.6,42.6,6.0,0.19,L W L W L
8,9,Brest,31,13,5,13,49,53,-4,44,1.42,42.3,50.1,-7.9,-0.25,W W D L L
9,10,Auxerre,31,11,8,12,45,45,0,41,1.32,39.8,53.3,-13.5,-0.44,W W L L W
10,11,Rennes,32,12,2,18,47,46,1,38,1.19,45.6,41.0,4.6,0.14,L W W L L
11,12,Toulouse,32,10,8,14,40,40,0,38,1.19,44.8,34.7,10.1,0.32,L L L D W
12,13,Reims,32,8,9,15,32,43,-11,33,1.03,35.4,54.7,-19.2,-0.6,L W W D L
13,14,Nantes,31,7,11,13,35,50,-15,32,1.03,35.5,53.2,-17.8,-0.57,L W L D D
14,15,Angers,31,8,6,17,29,50,-21,30,0.97,33.7,52.4,-18.7,-0.6,L L W L L
15,16,Le Havre,31,8,4,19,34,65,-31,28,0.9,36.4,58.5,-22.1,-0.71,W W L L D
16,17,Saint-Étienne,31,6,6,19,33,74,-41,24,0.77,34.4,69.2,-34.9,-1.12,L D W L L
17,18,Montpellier,30,4,4,22,22,69,-47,16,0.53,31.6,58.0,-26.4,-0.88,L L L L D
