,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
0,1,Liverpool,34,25,7,2,80,32,48,82,2.41,74.4,28.9,45.5,1.34,W L W W W
1,2,Arsenal,35,18,13,4,64,31,33,67,1.91,54.4,29.9,24.5,0.7,D D W D L
2,3,Manchester City,35,19,7,9,67,43,24,64,1.83,61.9,45.2,16.6,0.48,D W W W W
3,4,Newcastle Utd,34,19,5,10,65,44,21,62,1.82,57.8,42.4,15.4,0.45,W W W L W
4,5,Chelsea,34,17,9,8,59,40,19,60,1.76,62.1,43.2,18.9,0.56,W D D W W
5,6,Nott'ham Forest,34,18,6,10,53,41,12,60,1.76,40.4,43.4,-3.0,-0.09,W L L W L
6,7,Aston Villa,35,17,9,9,55,49,6,60,1.71,53.3,45.9,7.4,0.21,W W W L W
7,8,Bournemouth,35,14,11,10,55,42,13,53,1.51,60.5,45.7,14.8,0.42,D W D D W
8,9,Fulham,35,14,9,12,50,47,3,51,1.46,46.0,40.6,5.4,0.15,W L L W L
9,10,Brighton,34,13,12,9,56,55,1,51,1.5,52.0,47.7,4.4,0.13,L L D L W
10,11,Brentford,34,14,7,13,58,50,8,49,1.44,50.9,51.0,0.0,0.0,L D D W W
11,12,Crystal Palace,34,11,12,11,43,47,-4,45,1.32,51.3,44.2,7.2,0.21,W L L D D
12,13,Wolves,35,12,5,18,51,62,-11,41,1.17,40.4,53.5,-13.1,-0.37,W W W W L
13,14,Everton,35,8,15,12,36,43,-7,39,1.11,36.9,43.1,-6.2,-0.18,D W L L D
14,15,Manchester Utd,34,10,9,15,39,47,-8,39,1.15,45.7,48.2,-2.5,-0.07,L D L L D
15,16,Tottenham,34,11,4,19,62,56,6,37,1.09,54.8,55.5,-0.7,-0.02,L W L L L
16,17,West Ham,34,9,9,16,39,58,-19,36,1.06,42.2,54.1,-11.9,-0.35,L D L D L
17,18,Ipswich Town,35,4,10,21,35,76,-41,22,0.63,31.3,69.4,-38.1,-1.09,L D L L D
18,19,Leicester City,35,5,6,24,29,76,-47,21,0.6,30.5,67.6,-37.1,-1.06,L D L L W
19,20,Southampton,35,2,5,28,25,82,-57,11,0.31,30.7,78.1,-47.3,-1.35,L L D L L
