,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
0,1,Napoli,38,24,10,4,59,27,32,82,2.16,53.0,29.6,23.4,0.62,W W D D W
1,2,Inter,38,24,9,5,79,35,44,81,2.13,66.9,36.5,30.4,0.8,L W W D W
2,3,Atalanta,37,22,8,7,76,34,42,74,2.0,63.7,36.1,27.6,0.75,W D W W W
3,4,Juventus,37,17,16,4,55,33,22,67,1.81,49.1,33.2,16.0,0.43,L W D D W
4,5,Roma,37,19,9,9,54,35,19,66,1.78,51.0,40.4,10.6,0.29,W W W L W
5,6,Lazio,37,18,11,8,61,48,13,65,1.76,55.4,37.3,18.1,0.49,W D W D D
6,7,Milan,38,18,9,11,61,43,18,63,1.66,63.7,41.3,22.4,0.59,W W W L W
7,8,Fiorentina,37,18,8,11,57,39,18,62,1.68,46.2,41.4,4.8,0.13,W W L L W
8,9,Bologna,38,16,14,8,57,47,10,62,1.63,49.2,36.9,12.2,0.32,D D L L L
9,10,Como,38,13,10,15,49,52,-3,49,1.29,45.4,43.0,2.4,0.06,W W W D L
10,11,Torino,37,10,14,13,39,43,-4,44,1.19,34.1,48.5,-14.4,-0.39,W L D L L
11,12,Udinese,37,12,8,17,39,53,-14,44,1.19,36.8,50.0,-13.2,-0.36,L D W L L
12,13,Genoa,38,10,13,15,37,49,-12,43,1.13,37.5,47.1,-9.6,-0.25,L L D L W
13,14,Cagliari,38,9,9,20,40,56,-16,36,0.95,42.7,55.3,-12.6,-0.33,W L L W L
14,15,Hellas Verona,37,9,7,21,32,65,-33,34,0.92,33.1,52.5,-19.5,-0.53,L L L D D
15,16,Parma,37,6,15,16,41,56,-15,33,0.89,40.6,55.2,-14.6,-0.39,W D L L D
16,17,Lecce,37,7,10,20,26,58,-32,31,0.84,34.2,55.2,-21.0,-0.57,L D L D W
17,18,Empoli,37,6,13,18,32,57,-25,31,0.84,31.6,49.3,-17.7,-0.48,D L L W W
18,19,Venezia,37,5,14,18,30,53,-23,29,0.78,34.9,55.6,-20.6,-0.56,D L D W L
19,20,Monza,38,3,9,26,28,69,-41,18,0.47,29.9,54.7,-24.8,-0.65,L L W L L
