,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Squad,League
0,David Raya,es ESP,GK,29-246,37.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2,2.0,21.0,8.0,Matches,Arsenal,Premier-League
1,William Saliba,fr FRA,DF,24-056,33.8,62.0,37,37.0,23.0,2.0,21.0,28.0,75.0,7.0,25.0,15.0,10.0,21,83.0,119.0,7.0,Matches,Arsenal,Premier-League
2,Declan Rice,eng ENG,MF,26-125,30.4,53.0,25,22.0,25.0,6.0,17.0,39.0,43.6,22.0,25.0,12.0,13.0,25,78.0,47.0,0.0,Matches,Arsenal,Premier-League
3,Thomas Partey,gh GHA,"MF,DF",31-340,30.1,87.0,54,26.0,38.0,23.0,46.0,75.0,61.3,29.0,28.0,8.0,20.0,34,121.0,48.0,4.0,Matches,Arsenal,Premier-League
4,Leandro Trossard,be BEL,FW,30-166,28.0,30.0,20,6.0,15.0,9.0,12.0,34.0,35.3,22.0,32.0,0.0,32.0,10,40.0,18.0,0.0,Matches,Arsenal,Premier-League
5,Gabriel Magalhães,br BRA,DF,27-151,26.3,25.0,15,12.0,8.0,5.0,12.0,16.0,75.0,4.0,42.0,29.0,13.0,16,41.0,93.0,2.0,Matches,Arsenal,Premier-League
6,Jurriën Timber,nl NED,DF,23-336,26.9,58.0,38,17.0,30.0,11.0,18.0,27.0,66.7,9.0,19.0,4.0,15.0,22,80.0,44.0,1.0,Matches,Arsenal,Premier-League
7,Martin Ødegaard,no NOR,MF,26-153,25.7,19.0,11,9.0,7.0,3.0,4.0,24.0,16.7,20.0,5.0,0.0,5.0,6,25.0,6.0,1.0,Matches,Arsenal,Premier-League
8,Gabriel Martinelli,br BRA,"FW,MF",23-335,24.7,21.0,15,9.0,5.0,7.0,7.0,23.0,30.4,16.0,14.0,0.0,14.0,5,26.0,19.0,0.0,Matches,Arsenal,Premier-League
9,Kai Havertz,de GER,"FW,MF",25-342,20.6,16.0,9,3.0,6.0,7.0,4.0,15.0,26.7,11.0,23.0,4.0,19.0,6,22.0,33.0,1.0,Matches,Arsenal,Premier-League
10,Bukayo Saka,eng ENG,"FW,MF",23-256,18.9,28.0,15,9.0,11.0,8.0,12.0,23.0,52.2,11.0,22.0,0.0,22.0,3,31.0,8.0,0.0,Matches,Arsenal,Premier-League
11,Mikel Merino,es ESP,"MF,FW",28-331,16.6,43.0,26,7.0,24.0,12.0,18.0,33.0,54.5,15.0,18.0,5.0,13.0,15,58.0,25.0,2.0,Matches,Arsenal,Premier-League
12,Myles Lewis-Skelly,eng ENG,DF,18-235,15.0,22.0,14,10.0,9.0,3.0,10.0,11.0,90.9,1.0,3.0,1.0,2.0,7,29.0,24.0,0.0,Matches,Arsenal,Premier-League
13,Ben White,eng ENG,DF,27-223,12.3,18.0,12,10.0,4.0,4.0,15.0,33.0,45.5,18.0,10.0,8.0,2.0,16,34.0,42.0,0.0,Matches,Arsenal,Premier-League
14,Riccardo Calafiori,it ITA,DF,23-000,10.9,27.0,19,15.0,10.0,2.0,18.0,29.0,62.1,11.0,12.0,6.0,6.0,9,36.0,25.0,0.0,Matches,Arsenal,Premier-League
15,Ethan Nwaneri,eng ENG,"FW,MF",18-059,9.1,11.0,7,4.0,4.0,3.0,7.0,18.0,38.9,11.0,8.0,2.0,6.0,2,13.0,4.0,1.0,Matches,Arsenal,Premier-League
