,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Squad,League
0,David Raya,es ESP,GK,29-252,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Arsenal,Premier-League
1,William Saliba,fr FRA,DF,24-062,33.8,27,0.8,25,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches,Arsenal,Premier-League
2,Declan Rice,eng ENG,MF,26-131,30.4,106,3.49,57,33,4,5,5,2,10,0.33,6,2,1,1,0,0,Matches,Arsenal,Premier-League
3,Thomas Partey,gh GHA,"MF,DF",31-346,30.1,61,2.03,51,2,1,2,1,4,13,0.43,8,2,0,1,1,1,Matches,Arsenal,Premier-League
4,Leandro Trossard,be BEL,FW,30-172,28.0,92,3.29,71,2,7,6,4,2,7,0.25,7,0,0,0,0,0,Matches,Arsenal,Premier-League
5,Gabriel Magalhães,br BRA,DF,27-157,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0,Matches,Arsenal,Premier-League
6,Jurriën Timber,nl NED,DF,23-342,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0,Matches,Arsenal,Premier-League
7,Martin Ødegaard,no NOR,MF,26-159,25.7,123,4.8,101,13,2,5,2,0,17,0.66,14,2,0,1,0,0,Matches,Arsenal,Premier-League
8,Gabriel Martinelli,br BRA,"FW,MF",23-341,24.7,67,2.71,51,1,8,4,3,0,6,0.24,3,0,1,1,1,0,Matches,Arsenal,Premier-League
9,Kai Havertz,de GER,"FW,MF",25-348,20.6,41,1.99,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,Matches,Arsenal,Premier-League
10,Bukayo Saka,eng ENG,"FW,MF",23-262,18.9,112,5.93,68,20,11,9,4,0,23,1.22,14,5,2,1,1,0,Matches,Arsenal,Premier-League
11,Mikel Merino,es ESP,"MF,FW",28-337,16.6,41,2.47,34,0,0,5,2,0,4,0.24,3,0,0,1,0,0,Matches,Arsenal,Premier-League
12,Myles Lewis-Skelly,eng ENG,DF,18-241,15.0,29,1.94,21,0,1,1,6,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
13,Ben White,eng ENG,DF,27-229,12.3,19,1.54,18,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,Arsenal,Premier-League
14,Riccardo Calafiori,it ITA,DF,23-006,10.9,13,1.19,11,0,1,1,0,0,2,0.18,2,0,0,0,0,0,Matches,Arsenal,Premier-League
15,Ethan Nwaneri,eng ENG,"FW,MF",18-065,9.1,22,2.41,12,4,3,2,1,0,3,0.33,3,0,0,0,0,0,Matches,Arsenal,Premier-League
16,Jakub Kiwior,pl POL,DF,25-099,11.5,8,0.7,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
17,Jorginho,it ITA,MF,33-156,7.8,12,1.54,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
18,Gabriel Jesus,br BRA,FW,28-052,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0,Matches,Arsenal,Premier-League
19,Raheem Sterling,eng ENG,"FW,MF",30-168,4.9,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0,Matches,Arsenal,Premier-League
20,Oleksandr Zinchenko,ua UKR,"DF,MF",28-161,5.1,16,3.14,11,1,1,2,1,0,2,0.39,2,0,0,0,0,0,Matches,Arsenal,Premier-League
21,Kieran Tierney,sct SCO,"DF,FW",27-354,2.2,8,3.65,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
22,Nathan Butler-Oyedeji,eng ENG,FW,22-141,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
23,Takehiro Tomiyasu,jp JPN,DF,26-201,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
24,Reiss Nelson,eng ENG,FW,25-166,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
