,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Squad,League
0,David Raya,es ESP,GK,28.0,38.0,3,0,0,1,10,0,0,2,0,0,1,0,41,13,0,100.0,Matches,Arsenal,Premier-League
1,William Saliba,fr FRA,DF,23.0,33.8,2,1,0,28,17,1,3,21,37,0,1,0,154,61,36,62.9,Matches,Arsenal,Premier-League
2,Declan Rice,eng ENG,MF,25.0,31.4,7,1,1,21,16,2,164,25,25,0,0,0,156,37,25,59.7,Matches,Arsenal,Premier-League
3,Thomas Partey,gh GHA,"MF,DF",31.0,31.1,4,0,0,45,31,1,12,35,53,0,0,0,138,28,27,50.9,Matches,Arsenal,Premier-League
4,Leandro Trossard,be BEL,FW,29.0,28.3,4,1,1,27,46,6,86,9,20,0,0,0,104,6,24,20.0,Matches,Arsenal,Premier-League
5,Gabriel Magalhães,br BRA,DF,26.0,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9,Matches,Arsenal,Premier-League
6,Jurriën Timber,nl NED,DF,23.0,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Matches,Arsenal,Premier-League
7,Martin Ødegaard,no NOR,MF,25.0,25.8,4,0,0,12,23,1,86,6,11,0,0,0,97,8,7,53.3,Matches,Arsenal,Premier-League
8,Gabriel Martinelli,br BRA,"FW,MF",23.0,25.4,1,0,0,16,21,8,92,5,15,0,0,0,78,17,39,30.4,Matches,Arsenal,Premier-League
9,Kai Havertz,de GER,"FW,MF",25.0,20.8,5,0,0,38,23,14,11,6,9,0,0,0,41,63,78,44.7,Matches,Arsenal,Premier-League
10,Bukayo Saka,eng ENG,"FW,MF",22.0,19.2,3,0,0,15,39,7,117,3,15,1,0,0,70,10,20,33.3,Matches,Arsenal,Premier-League
11,Mikel Merino,es ESP,"MF,FW",28.0,17.6,4,1,1,41,23,7,13,15,28,0,0,0,86,59,55,51.8,Matches,Arsenal,Premier-League
12,Myles Lewis-Skelly,eng ENG,DF,17.0,15.2,3,2,0,11,47,0,10,7,14,0,1,0,53,11,10,52.4,Matches,Arsenal,Premier-League
13,Ben White,eng ENG,DF,26.0,13.3,2,0,0,10,5,1,17,16,14,0,0,0,37,18,9,66.7,Matches,Arsenal,Premier-League
14,Riccardo Calafiori,it ITA,DF,22.0,10.9,4,0,0,16,6,3,11,9,19,0,0,0,35,22,14,61.1,Matches,Arsenal,Premier-League
15,Ethan Nwaneri,eng ENG,"FW,MF",17.0,9.9,1,0,0,9,5,6,54,2,7,0,0,0,34,4,8,33.3,Matches,Arsenal,Premier-League
16,Jakub Kiwior,pl POL,DF,24.0,12.5,1,0,0,10,4,1,2,6,8,0,0,0,31,11,13,45.8,Matches,Arsenal,Premier-League
17,Jorginho,it ITA,MF,32.0,7.8,5,0,0,15,17,0,1,7,4,0,0,0,55,1,6,14.3,Matches,Arsenal,Premier-League
18,Raheem Sterling,eng ENG,"FW,MF",29.0,5.5,1,0,0,12,8,4,16,1,4,0,0,0,16,1,3,25.0,Matches,Arsenal,Premier-League
19,Gabriel Jesus,br BRA,FW,27.0,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,Matches,Arsenal,Premier-League
20,Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,5.9,1,0,0,8,3,1,13,5,1,0,0,0,19,12,11,52.2,Matches,Arsenal,Premier-League
21,Kieran Tierney,sct SCO,"DF,FW",27.0,2.9,0,0,0,1,2,2,14,3,5,0,0,0,6,5,5,50.0,Matches,Arsenal,Premier-League
22,Nathan Butler-Oyedeji,eng ENG,FW,21.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Arsenal,Premier-League
23,Takehiro Tomiyasu,jp JPN,DF,25.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Arsenal,Premier-League
24,Reiss Nelson,eng ENG,FW,24.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches,Arsenal,Premier-League
25,Emiliano Martínez,ar ARG,GK,31.0,35.5,5,1,0,2,6,0,0,0,3,0,0,0,34,10,1,90.9,Matches,Aston-Villa,Premier-League
26,Morgan Rogers,eng ENG,"FW,MF",22.0,34.6,10,0,0,50,51,2,27,6,22,1,0,0,119,13,52,20.0,Matches,Aston-Villa,Premier-League
27,Youri Tielemans,be BEL,MF,27.0,33.6,4,0,0,41,56,0,119,23,58,0,0,0,145,22,18,55.0,Matches,Aston-Villa,Premier-League
28,Ezri Konsa,eng ENG,DF,26.0,32.6,1,0,0,9,47,1,5,24,18,0,0,0,97,31,23,57.4,Matches,Aston-Villa,Premier-League
29,Ollie Watkins,eng ENG,FW,28.0,28.9,2,0,0,29,33,16,7,8,7,2,0,0,43,52,71,42.3,Matches,Aston-Villa,Premier-League
30,Lucas Digne,fr FRA,DF,31.0,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9,Matches,Aston-Villa,Premier-League
31,John McGinn,sct SCO,"MF,FW",29.0,24.7,7,0,0,43,69,3,60,14,24,1,0,0,100,17,12,58.6,Matches,Aston-Villa,Premier-League
32,Matty Cash,pl POL,DF,26.0,23.0,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50.0,Matches,Aston-Villa,Premier-League
33,Pau Torres,es ESP,DF,27.0,22.4,2,0,0,8,7,0,3,10,15,0,0,0,62,18,29,38.3,Matches,Aston-Villa,Premier-League
34,Boubacar Kamara,fr FRA,MF,24.0,19.2,2,0,0,30,35,0,1,19,21,0,0,0,87,21,26,44.7,Matches,Aston-Villa,Premier-League
35,Amadou Onana,be BEL,MF,22.0,18.0,4,0,0,32,30,0,2,26,30,0,0,0,72,32,21,60.4,Matches,Aston-Villa,Premier-League
36,Jacob Ramsey,eng ENG,"FW,MF",23.0,18.0,4,1,1,13,28,5,12,8,15,1,0,0,83,7,13,35.0,Matches,Aston-Villa,Premier-League
37,Leon Bailey,jm JAM,"FW,MF",26.0,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40.0,Matches,Aston-Villa,Premier-League
38,Tyrone Mings,eng ENG,DF,31.0,12.4,1,0,0,4,11,0,1,7,6,0,0,0,38,27,22,55.1,Matches,Aston-Villa,Premier-League
39,Ian Maatsen,nl NED,DF,22.0,12.7,2,0,0,11,9,3,51,15,17,0,1,0,67,10,6,62.5,Matches,Aston-Villa,Premier-League
40,Marco Asensio,es ESP,MF,28.0,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0.0,Matches,Aston-Villa,Premier-League
41,Diego Carlos,br BRA,DF,31.0,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches,Aston-Villa,Premier-League
42,Axel Disasi,fr FRA,DF,26.0,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches,Aston-Villa,Premier-League
43,Lamare Bogarde,nl NED,"DF,MF",20.0,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches,Aston-Villa,Premier-League
44,Andrés García,es ESP,"DF,MF",21.0,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0,Matches,Aston-Villa,Premier-League
45,Jáder Durán,co COL,FW,20.0,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches,Aston-Villa,Premier-League
46,Marcus Rashford,eng ENG,FW,26.0,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1,Matches,Aston-Villa,Premier-League
47,Ross Barkley,eng ENG,MF,30.0,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60.0,Matches,Aston-Villa,Premier-League
48,Jaden Philogene Bidace,eng ENG,"FW,MF",22.0,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,Matches,Aston-Villa,Premier-League
49,Donyell Malen,nl NED,FW,25.0,3.4,0,0,0,1,5,2,8,0,4,0,0,0,9,4,4,50.0,Matches,Aston-Villa,Premier-League
50,Robin Olsen,se SWE,GK,34.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Aston-Villa,Premier-League
51,Kosta Nedeljković,rs SRB,DF,18.0,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,Matches,Aston-Villa,Premier-League
52,Emi Buendía,ar ARG,"MF,FW",27.0,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches,Aston-Villa,Premier-League
53,Milos Kerkez,hu HUN,DF,20.0,37.1,4,0,0,30,50,3,142,45,26,0,0,0,169,28,49,36.4,Matches,Bournemouth,Premier-League
54,Antoine Semenyo,gh GHA,FW,24.0,35.6,9,0,0,73,37,15,59,11,35,1,0,0,158,66,76,46.5,Matches,Bournemouth,Premier-League
55,Illia Zabarnyi,ua UKR,DF,21.0,34.5,4,1,0,20,7,0,6,41,36,0,0,0,157,77,44,63.6,Matches,Bournemouth,Premier-League
56,Lewis Cook,eng ENG,"MF,DF",27.0,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7,Matches,Bournemouth,Premier-League
57,Kepa Arrizabalaga,es ESP,GK,29.0,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5,Matches,Bournemouth,Premier-League
58,Justin Kluivert,nl NED,MF,25.0,26.0,8,0,0,47,33,5,85,14,11,1,0,0,78,8,28,22.2,Matches,Bournemouth,Premier-League
59,Evanilson,br BRA,FW,24.0,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4,Matches,Bournemouth,Premier-League
60,Ryan Christie,sct SCO,MF,29.0,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches,Bournemouth,Premier-League
61,Dean Huijsen,es ESP,DF,19.0,27.0,10,0,0,31,10,2,12,51,26,0,0,0,105,68,44,60.7,Matches,Bournemouth,Premier-League
62,Dango Ouattara,bf BFA,FW,22.0,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7,Matches,Bournemouth,Premier-League
63,Tyler Adams,us USA,MF,25.0,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3,Matches,Bournemouth,Premier-League
