,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
0,David Raya,es ESP,GK,29-239,36.0,1419,839,1334,85,0,0,1419,1,1,100.0,0,0.0,887,4363,2630,0,0,0,1,0,814,0,Matches,Arsenal,Premier-League
1,William Saliba,fr FRA,DF,24-049,33.3,2789,186,1113,1551,141,18,2789,19,12,63.2,6,31.6,1730,7521,4104,16,17,1,19,8,2113,6,Matches,Arsenal,Premier-League
2,Declan Rice,eng ENG,MF,26-118,29.4,1839,71,302,863,693,77,1839,28,13,46.4,14,50.0,977,6149,3274,88,54,16,36,29,1204,92,Matches,Arsenal,Premier-League
3,Thomas Partey,gh GHA,"MF,DF",31-333,29.1,2057,69,435,1129,505,30,2057,35,24,68.6,9,25.7,1165,6251,3352,33,38,3,23,16,1464,48,Matches,Arsenal,Premier-League
4,Gabriel Magalhães,br BRA,DF,27-144,26.3,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,10,22,0,9,2,1366,11,Matches,Arsenal,Premier-League
5,Leandro Trossard,be BEL,FW,30-159,27.0,1201,15,124,379,716,152,1201,77,33,42.9,34,44.2,774,4755,2132,79,52,29,60,47,898,216,Matches,Arsenal,Premier-League
6,Jurriën Timber,nl NED,DF,23-329,26.9,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,57,27,11,33,24,1052,104,Matches,Arsenal,Premier-League
7,Martin Ødegaard,no NOR,MF,26-146,24.7,1621,7,117,687,832,111,1620,56,23,41.1,31,55.4,1121,7117,3656,89,80,24,36,38,1281,146,Matches,Arsenal,Premier-League
8,Gabriel Martinelli,br BRA,"FW,MF",23-328,23.7,917,16,90,234,607,173,917,106,32,30.2,58,54.7,618,4560,2429,116,30,60,49,34,698,276,Matches,Arsenal,Premier-League
9,Kai Havertz,de GER,"FW,MF",25-335,20.4,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110,Matches,Arsenal,Premier-League
10,Bukayo Saka,eng ENG,"FW,MF",23-249,18.1,913,6,53,204,665,151,912,87,39,44.8,36,41.4,586,3956,2276,89,30,46,33,38,663,241,Matches,Arsenal,Premier-League
11,Mikel Merino,es ESP,"MF,FW",28-324,16.6,761,36,137,319,315,75,761,22,9,40.9,9,40.9,378,1463,711,10,13,4,23,25,492,92,Matches,Arsenal,Premier-League
12,Myles Lewis-Skelly,eng ENG,DF,18-228,14.0,827,23,155,452,234,14,827,26,12,46.2,9,34.6,478,2441,1511,32,23,5,12,8,567,36,Matches,Arsenal,Premier-League
13,Ben White,eng ENG,DF,27-216,11.3,682,47,191,313,182,22,682,5,0,0.0,4,80.0,322,1272,726,16,13,4,8,4,407,33,Matches,Arsenal,Premier-League
14,Riccardo Calafiori,it ITA,DF,22-358,10.4,630,30,161,251,222,29,630,13,9,69.2,3,23.1,291,1572,839,21,12,3,12,5,377,29,Matches,Arsenal,Premier-League
15,Ethan Nwaneri,eng ENG,"FW,MF",18-052,9.1,496,3,43,160,298,40,496,55,32,58.2,17,30.9,334,2641,1243,44,23,16,21,17,362,102,Matches,Arsenal,Premier-League
16,Jorginho,it ITA,MF,33-143,7.8,519,9,92,303,130,3,519,4,1,25.0,2,50.0,302,1498,874,12,13,0,10,9,388,6,Matches,Arsenal,Premier-League
17,Jakub Kiwior,pl POL,DF,25-086,10.5,709,75,234,418,57,4,709,4,3,75.0,1,25.0,408,1651,923,5,5,1,3,1,531,1,Matches,Arsenal,Premier-League
18,Gabriel Jesus,br BRA,FW,28-039,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57,Matches,Arsenal,Premier-League
19,Raheem Sterling,eng ENG,"FW,MF",30-155,4.9,247,2,8,52,190,37,247,25,9,36.0,9,36.0,178,1278,690,25,9,15,11,14,188,73,Matches,Arsenal,Premier-League
20,Oleksandr Zinchenko,ua UKR,"DF,MF",28-148,5.1,413,13,77,207,130,18,413,4,3,75.0,0,0.0,235,1151,509,10,5,3,3,4,287,12,Matches,Arsenal,Premier-League
21,Kieran Tierney,sct SCO,"DF,FW",27-341,2.2,136,5,22,47,67,4,136,3,1,33.3,1,33.3,60,248,125,5,3,1,1,0,92,22,Matches,Arsenal,Premier-League
22,Nathan Butler-Oyedeji,eng ENG,FW,22-128,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,Arsenal,Premier-League
23,Takehiro Tomiyasu,jp JPN,DF,26-188,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0,Matches,Arsenal,Premier-League
24,Reiss Nelson,eng ENG,FW,25-153,0.0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0,Matches,Arsenal,Premier-League
25,Emiliano Martínez,ar ARG,GK,32-252,34.0,1393,1055,1374,19,0,0,1393,1,1,100.0,0,0.0,851,4362,2756,0,0,0,1,0,756,0,Matches,Aston-Villa,Premier-League
26,Youri Tielemans,be BEL,MF,28-005,33.3,2361,100,472,1357,557,42,2360,60,31,51.7,18,30.0,1275,5522,2541,39,26,9,30,29,1654,48,Matches,Aston-Villa,Premier-League
27,Morgan Rogers,eng ENG,"FW,MF",22-290,32.7,1296,42,192,568,562,136,1296,156,65,41.7,71,45.5,753,5344,3059,108,64,33,109,71,907,178,Matches,Aston-Villa,Premier-League
28,Ezri Konsa,eng ENG,DF,27-201,30.6,1790,237,852,847,100,20,1790,18,8,44.4,7,38.9,1045,5214,2599,17,12,2,17,10,1248,11,Matches,Aston-Villa,Premier-League
29,Ollie Watkins,eng ENG,FW,29-133,26.9,660,18,50,239,381,158,658,39,9,23.1,26,66.7,389,2146,1089,54,21,37,59,48,520,152,Matches,Aston-Villa,Premier-League
30,Lucas Digne,fr FRA,DF,31-296,26.1,1527,97,541,457,539,28,1527,19,9,47.4,9,47.4,683,2983,1346,23,14,4,17,16,820,142,Matches,Aston-Villa,Premier-League
31,John McGinn,sct SCO,"MF,FW",30-206,23.0,1007,29,159,535,323,52,1007,45,18,40.0,13,28.9,551,2800,1202,31,16,6,34,26,704,73,Matches,Aston-Villa,Premier-League
32,Matty Cash,pl POL,DF,27-278,21.0,1051,78,388,409,265,38,1051,36,15,41.7,16,44.4,517,3192,1629,46,34,4,18,9,585,76,Matches,Aston-Villa,Premier-League
33,Pau Torres,es ESP,DF,28-116,20.4,1353,219,657,623,79,16,1353,17,15,88.2,2,11.8,841,5542,3614,33,20,0,4,4,965,4,Matches,Aston-Villa,Premier-League
34,Jacob Ramsey,eng ENG,"FW,MF",23-349,17.7,755,12,145,270,355,72,755,45,25,55.6,12,26.7,491,3389,1739,60,31,20,42,22,570,110,Matches,Aston-Villa,Premier-League
35,Boubacar Kamara,fr FRA,MF,25-170,17.3,1020,93,316,588,123,9,1020,25,8,32.0,9,36.0,530,2611,1187,17,11,1,10,15,689,7,Matches,Aston-Villa,Premier-League
36,Amadou Onana,be BEL,MF,23-269,16.3,913,70,252,537,140,22,913,18,12,66.7,3,16.7,497,2603,1400,24,22,1,11,9,612,15,Matches,Aston-Villa,Premier-League
37,Leon Bailey,jm JAM,"FW,MF",27-276,12.6,539,18,76,155,318,69,539,57,22,38.6,24,42.1,344,2540,1334,57,22,33,35,25,386,121,Matches,Aston-Villa,Premier-League
38,Tyrone Mings,eng ENG,DF,32-060,12.4,794,146,405,346,47,17,794,3,2,66.7,1,33.3,484,2662,1365,7,13,1,3,1,532,1,Matches,Aston-Villa,Premier-League
