,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Squad,League
0,David Raya,es ESP,GK,28.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal,Premier-League
1,William Saliba,fr FRA,DF,23.0,33.8,2,6,2,33.3,0.18,0.06,0.33,1.0,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3,Matches,Arsenal,Premier-League
2,Declan Rice,eng ENG,MF,25.0,31.4,4,48,14,29.2,1.53,0.45,0.08,0.29,19.6,2,0,0,3.5,3.5,0.07,0.5,0.5,Matches,Arsenal,Premier-League
3,Thomas Partey,gh GHA,"MF,DF",31.0,31.1,4,26,9,34.6,0.84,0.29,0.15,0.44,19.2,0,0,0,2.3,2.3,0.09,1.7,1.7,Matches,Arsenal,Premier-League
4,Leandro Trossard,be BEL,FW,29.0,28.3,8,72,21,29.2,2.55,0.74,0.11,0.38,15.9,0,0,0,7.2,7.2,0.1,0.8,0.8,Matches,Arsenal,Premier-League
5,Gabriel Magalhães,br BRA,DF,26.0,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4,Matches,Arsenal,Premier-League
6,Jurriën Timber,nl NED,DF,23.0,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches,Arsenal,Premier-League
7,Martin Ødegaard,no NOR,MF,25.0,25.8,3,48,15,31.3,1.86,0.58,0.04,0.13,19.2,3,1,1,4.8,4.0,0.08,-1.8,-2.0,Matches,Arsenal,Premier-League
8,Gabriel Martinelli,br BRA,"FW,MF",23.0,25.4,8,55,24,43.6,2.16,0.94,0.15,0.33,12.9,0,0,0,7.4,7.4,0.14,0.6,0.6,Matches,Arsenal,Premier-League
9,Kai Havertz,de GER,"FW,MF",25.0,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,11.6,0,0,0,9.5,9.5,0.18,-0.5,-0.5,Matches,Arsenal,Premier-League
10,Bukayo Saka,eng ENG,"FW,MF",22.0,19.2,6,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0,Matches,Arsenal,Premier-League
11,Mikel Merino,es ESP,"MF,FW",28.0,17.6,7,38,13,34.2,2.16,0.74,0.18,0.54,10.7,0,0,0,5.9,5.9,0.16,1.1,1.1,Matches,Arsenal,Premier-League
12,Myles Lewis-Skelly,eng ENG,DF,17.0,15.2,1,3,1,33.3,0.2,0.07,0.33,1.0,14.7,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches,Arsenal,Premier-League
13,Ben White,eng ENG,DF,26.0,13.3,0,9,2,22.2,0.68,0.15,0.0,0.0,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Arsenal,Premier-League
14,Riccardo Calafiori,it ITA,DF,22.0,10.9,2,10,6,60.0,0.92,0.55,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1,Matches,Arsenal,Premier-League
15,Ethan Nwaneri,eng ENG,"FW,MF",17.0,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,18.5,1,0,0,1.2,1.2,0.05,2.8,2.8,Matches,Arsenal,Premier-League
16,Jakub Kiwior,pl POL,DF,24.0,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches,Arsenal,Premier-League
