,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Squad,League
0,David Raya,es ESP,GK,29-238,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,Premier-League
1,William Saliba,fr FRA,DF,24-048,33,33,2904.0,32.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.3,2.3,0.9,3.1,16.0,134.0,6.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.1,0.07,0.1,Matches,Arsenal,Premier-League
2,Declan Rice,eng ENG,MF,26-117,33,31,2645.0,29.4,3.0,7.0,10.0,3.0,0.0,0.0,7.0,1.0,3.3,3.3,6.5,9.7,88.0,180.0,92.0,0.1,0.24,0.34,0.1,0.34,0.11,0.22,0.33,0.11,0.33,Matches,Arsenal,Premier-League
3,Thomas Partey,gh GHA,"MF,DF",31-332,32,28,2527.0,28.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,1.9,4.0,32.0,171.0,47.0,0.14,0.07,0.21,0.14,0.21,0.07,0.07,0.14,0.07,0.14,Matches,Arsenal,Premier-League
4,Gabriel Magalhães,br BRA,DF,27-143,28,28,2363.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.9,3.5,10.0,126.0,11.0,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,Matches,Arsenal,Premier-League
5,Jurriën Timber,nl NED,DF,23-328,30,27,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,0.8,2.1,57.0,146.0,104.0,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches,Arsenal,Premier-League
6,Leandro Trossard,be BEL,FW,30-158,35,26,2354.0,26.2,8.0,5.0,13.0,8.0,0.0,0.0,4.0,1.0,6.8,6.8,5.3,12.0,75.0,95.0,207.0,0.31,0.19,0.5,0.31,0.5,0.26,0.2,0.46,0.26,0.46,Matches,Arsenal,Premier-League
7,Martin Ødegaard,no NOR,MF,26-145,27,24,2130.0,23.7,2.0,7.0,9.0,1.0,1.0,1.0,4.0,0.0,4.6,3.8,5.0,8.8,82.0,240.0,144.0,0.08,0.3,0.38,0.04,0.34,0.19,0.21,0.41,0.16,0.37,Matches,Arsenal,Premier-League
8,Gabriel Martinelli,br BRA,"FW,MF",23-327,30,22,2041.0,22.7,7.0,4.0,11.0,7.0,0.0,0.0,1.0,0.0,5.9,5.9,4.7,10.6,112.0,47.0,267.0,0.31,0.18,0.49,0.31,0.49,0.26,0.21,0.47,0.26,0.47,Matches,Arsenal,Premier-League
9,Kai Havertz,de GER,"FW,MF",25-334,21,21,1839.0,20.4,9.0,3.0,12.0,9.0,0.0,0.0,4.0,0.0,9.4,9.4,2.4,11.8,34.0,59.0,110.0,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches,Arsenal,Premier-League
